TransactionID,CustomerID,ProductID,Date,Quantity,Discount,Total_Amount,Name,Region,Signup_Date,Category,Price,Calculated_Revenue,Year,Month,Month_Name
10001,CUST-055,PROD-008,1/1/2023 0:00,9,0.2,1355.76,Customer_55,West,1/17/2021,Electronics,188.3,1355.76,2023,1,January
10002,CUST-023,PROD-019,1/1/2023 1:00,1,0.1,,Customer_23,South,6/7/2020,Electronics,193.67,174.303,2023,1,January
10003,CUST-095,PROD-002,1/1/2023 2:00,9,0,3552.48,Customer_95,Midwest,10/24/2021,Clothing,394.72,3552.48,2023,1,January
10004,CUST-058,PROD-019,1/1/2023 3:00,2,0.2,309.87,Customer_58,East,2/7/2021,Electronics,193.67,309.872,2023,1,January
10005,CUST-070,PROD-003,1/1/2023 4:00,8,0.1,1147.39,Customer_70,East,5/2/2021,Office,159.36,1147.392,2023,1,January
10006,CUST-092,PROD-002,1/1/2023 5:00,5,0,1973.6,Customer_92,West,10/3/2021,Clothing,394.72,1973.6,2023,1,January
10007,CUST-049,PROD-006,1/1/2023 6:00,5,0.2,458.64,Customer_49,West,12/6/2020,Electronics,114.66,458.64,2023,1,January
10008,CUST-091,PROD-011,1/1/2023 7:00,5,0.05,1329.1,Customer_91,Midwest,9/26/2021,Clothing,279.81,1329.0975,2023,1,January
10009,CUST-042,PROD-002,1/1/2023 8:00,9,0.1,3197.23,Customer_42,North,10/18/2020,Clothing,394.72,3197.232,2023,1,January
10010,CUST-058,PROD-017,1/1/2023 9:00,6,0.2,,Customer_58,East,2/7/2021,Electronics,26.24,125.952,2023,1,January
10011,CUST-068,PROD-005,1/1/2023 10:00,8,0.2,1596.67,Customer_68,North,4/18/2021,Clothing,249.48,1596.672,2023,1,January
10012,CUST-015,PROD-003,1/1/2023 11:00,2,0.1,286.85,Customer_15,East,4/12/2020,Office,159.36,286.848,2023,1,January
10013,CUST-066,PROD-008,1/1/2023 12:00,9,0.05,1609.96,Customer_66,East,4/4/2021,Electronics,188.3,1609.965,2023,1,January
10014,CUST-026,PROD-012,1/1/2023 13:00,5,0.2,1879.24,Customer_26,West,6/28/2020,Furniture,469.81,1879.24,2023,1,January
10015,CUST-014,PROD-010,1/1/2023 14:00,2,0.2,93.14,Customer_14,North,4/5/2020,Clothing,58.21,93.136,2023,1,January
10016,CUST-069,PROD-014,1/1/2023 14:00,8,0.1,1365.77,Customer_69,South,4/25/2021,Office,189.69,1365.768,2023,1,January
10017,CUST-087,PROD-015,1/1/2023 16:00,4,0,1086.2,Customer_87,North,8/29/2021,Furniture,271.55,1086.2,2023,1,January
