TransactionID,CustomerID,ProductID,Date,Quantity,Discount,Total_Amount,Name,Region,Signup_Date,Category,Price
10001,CUST-055,PROD-008,2023-01-01 00:00:00,9,0.2,1355.76,Customer_55,West,2021-01-17,Electronics,188.3
10002,CUST-023,PROD-019,2023-01-01 01:00:00,1,0.1,,Customer_23,South,2020-06-07,Electronics,193.67
10003,CUST-095,PROD-002,2023-01-01 02:00:00,9,0.0,3552.48,Customer_95,Midwest,2021-10-24,Clothing,394.72
10004,CUST-058,PROD-019,2023-01-01 03:00:00,2,0.2,309.87,Customer_58,East,2021-02-07,Electronics,193.67
10005,CUST-070,PROD-003,2023-01-01 04:00:00,8,0.1,1147.39,Customer_70,East,2021-05-02,Office,159.36
10006,CUST-092,PROD-002,2023-01-01 05:00:00,5,0.0,1973.6,Customer_92,West,2021-10-03,Clothing,394.72
10007,CUST-049,PROD-006,2023-01-01 06:00:00,5,0.2,458.64,Customer_49,West,2020-12-06,Electronics,114.66
10008,CUST-091,PROD-011,2023-01-01 07:00:00,5,0.05,1329.1,Customer_91,Midwest,2021-09-26,Clothing,279.81
10009,CUST-042,PROD-002,2023-01-01 08:00:00,9,0.1,3197.23,Customer_42,North,2020-10-18,Clothing,394.72
10010,CUST-058,PROD-017,2023-01-01 09:00:00,6,0.2,,Customer_58,East,2021-02-07,Electronics,26.24
10011,CUST-068,PROD-005,2023-01-01 10:00:00,8,0.2,1596.67,Customer_68,North,2021-04-18,Clothing,249.48
10012,CUST-015,PROD-003,2023-01-01 11:00:00,2,0.1,286.85,Customer_15,East,2020-04-12,Office,159.36
10013,CUST-066,PROD-008,2023-01-01 12:00:00,9,0.05,1609.96,Customer_66,East,2021-04-04,Electronics,188.3
10014,CUST-026,PROD-012,2023-01-01 13:00:00,5,0.2,1879.24,Customer_26,West,2020-06-28,Furniture,469.81
10015,CUST-014,PROD-010,2023-01-01 14:00:00,2,0.2,93.14,Customer_14,North,2020-04-05,Clothing,58.21
10016,CUST-069,PROD-014,2023-01-01 14:00:00,8,0.1,1365.77,Customer_69,South,2021-04-25,Office,189.69
10017,CUST-087,PROD-015,2023-01-01 16:00:00,4,0.0,1086.2,Customer_87,North,2021-08-29,Furniture,271.55
10018,CUST-044,PROD-001,2023-01-01 17:00:00,4,0.0,673.08,Customer_44,South,2020-11-01,Clothing,168.27
10019,CUST-018,PROD-015,2023-01-01 18:00:00,7,0.2,1520.68,Customer_18,South,2020-05-03,Furniture,271.55
10020,CUST-098,PROD-006,2023-01-01 19:00:00,5,0.05,544.63,Customer_98,Midwest,2021-11-14,Electronics,114.66
10021,CUST-010,PROD-017,2023-01-01 20:00:00,3,0.0,,Customer_10,East,2020-03-08,Electronics,26.24
10022,CUST-011,PROD-011,2023-01-01 21:00:00,9,0.1,2266.46,Customer_11,West,2020-03-15,Clothing,279.81
10023,CUST-021,PROD-019,2023-01-01 22:00:00,8,0.1,1394.42,Customer_21,West,2020-05-24,Electronics,193.67
10024,CUST-091,PROD-009,2023-01-01 23:00:00,5,0.1,1499.26,Customer_91,Midwest,2021-09-26,Furniture,333.17
10025,CUST-048,PROD-015,2023-01-02 00:00:00,6,0.05,,Customer_48,Midwest,2020-11-29,Furniture,271.55
10026,CUST-017,PROD-014,2023-01-02 01:00:00,3,0.0,569.07,Customer_17,East,2020-04-26,Office,189.69
10027,CUST-048,PROD-017,2023-01-02 02:00:00,5,0.1,118.08,Customer_48,Midwest,2020-11-29,Electronics,26.24
10028,CUST-089,PROD-010,2023-01-02 03:00:00,3,0.1,157.17,Customer_89,Midwest,2021-09-12,Clothing,58.21
10029,CUST-064,PROD-014,2023-01-02 04:00:00,9,0.2,1365.77,Customer_64,North,2021-03-21,Office,189.69
10030,CUST-099,PROD-002,2023-01-02 05:00:00,3,0.0,1184.16,Customer_99,East,2021-11-21,Clothing,394.72
10031,CUST-023,PROD-003,2023-01-02 06:00:00,2,0.0,318.72,Customer_23,South,2020-06-07,Office,159.36
10032,CUST-088,PROD-011,2023-01-02 07:00:00,2,0.05,531.64,Customer_88,Midwest,2021-09-05,Clothing,279.81
10033,CUST-033,PROD-001,2023-01-02 08:00:00,8,0.2,1076.93,Customer_33,South,2020-08-16,Clothing,168.27
10034,CUST-031,PROD-002,2023-01-02 09:00:00,9,0.1,3197.23,Customer_31,East,2020-08-02,Clothing,394.72
10035,CUST-011,PROD-016,2023-01-02 10:00:00,4,0.2,1368.99,Customer_11,West,2020-03-15,Furniture,427.81
10036,CUST-099,PROD-020,2023-01-02 11:00:00,7,0.0,961.66,Customer_99,East,2021-11-21,Electronics,137.38
10037,CUST-002,PROD-019,2023-01-02 12:00:00,4,0.1,697.21,Customer_2,South,2020-01-12,Electronics,193.67
10038,CUST-019,PROD-002,2023-01-02 13:00:00,5,0.1,1776.24,Customer_19,South,2020-05-10,Clothing,394.72
10039,CUST-018,PROD-007,2023-01-02 14:00:00,9,0.2,1011.53,Customer_18,South,2020-05-03,Furniture,140.49
10040,CUST-023,PROD-011,2023-01-02 15:00:00,2,0.0,559.62,Customer_23,South,2020-06-07,Clothing,279.81
10041,CUST-072,PROD-004,2023-01-02 16:00:00,9,0.0,3019.77,Customer_72,South,2021-05-16,Office,335.53
10042,CUST-020,PROD-020,2023-01-02 17:00:00,3,0.2,329.71,Customer_20,Midwest,2020-05-17,Electronics,137.38
10043,CUST-010,PROD-011,2023-01-02 18:00:00,5,0.1,1259.14,Customer_10,East,2020-03-08,Clothing,279.81
10044,CUST-099,PROD-010,2023-01-02 19:00:00,8,0.05,442.4,Customer_99,East,2021-11-21,Clothing,58.21
10045,CUST-072,PROD-019,2023-01-02 20:00:00,1,0.05,183.99,Customer_72,South,2021-05-16,Electronics,193.67
10046,CUST-085,PROD-019,2023-01-02 21:00:00,1,0.0,193.67,Customer_85,West,2021-08-15,Electronics,193.67
10047,CUST-028,PROD-010,2023-01-02 22:00:00,9,0.1,471.5,Customer_28,East,2020-07-12,Clothing,58.21
10048,CUST-064,PROD-010,2023-01-02 23:00:00,1,0.05,55.3,Customer_64,North,2021-03-21,Clothing,58.21
10049,CUST-006,PROD-005,2023-01-03 00:00:00,5,0.1,1122.66,Customer_6,West,2020-02-09,Clothing,249.48
10050,CUST-047,PROD-003,2023-01-03 01:00:00,3,0.05,454.18,Customer_47,North,2020-11-22,Office,159.36
10051,CUST-058,PROD-018,2023-01-03 02:00:00,1,0.2,312.3,Customer_58,East,2021-02-07,Furniture,390.38
10052,CUST-100,PROD-013,2023-01-03 03:00:00,6,0.1,,Customer_100,East,2021-11-28,Clothing,256.94
10053,CUST-014,PROD-002,2023-01-03 04:00:00,8,0.2,2526.21,Customer_14,North,2020-04-05,Clothing,394.72
10054,CUST-015,PROD-020,2023-01-03 05:00:00,0,0.2,0.0,Customer_15,East,2020-04-12,Electronics,137.38
10055,CUST-033,PROD-014,2023-01-03 06:00:00,2,0.0,,Customer_33,South,2020-08-16,Office,189.69
10056,CUST-041,PROD-003,2023-01-03 07:00:00,3,0.0,478.08,Customer_41,Midwest,2020-10-11,Office,159.36
10057,CUST-029,PROD-019,2023-01-03 08:00:00,4,0.05,735.95,Customer_29,Midwest,2020-07-19,Electronics,193.67
10058,CUST-051,PROD-017,2023-01-03 09:00:00,3,0.0,78.72,Customer_51,Midwest,2020-12-20,Electronics,26.24
10059,CUST-005,PROD-012,2023-01-03 10:00:00,6,0.1,2536.97,Customer_5,West,2020-02-02,Furniture,469.81
10060,CUST-089,PROD-003,2023-01-03 11:00:00,4,0.05,605.57,Customer_89,Midwest,2021-09-12,Office,159.36
10061,CUST-096,PROD-013,2023-01-03 12:00:00,8,0.2,1644.42,Customer_96,West,2021-10-31,Clothing,256.94
10062,CUST-078,PROD-008,2023-01-03 13:00:00,7,0.05,1252.2,Customer_78,North,2021-06-27,Electronics,188.3
10063,CUST-074,PROD-008,2023-01-03 13:00:00,0,0.05,0.0,Customer_74,South,2021-05-30,Electronics,188.3
10064,CUST-044,PROD-017,2023-01-03 15:00:00,2,0.05,49.86,Customer_44,South,2020-11-01,Electronics,26.24
10065,CUST-099,PROD-017,2023-01-03 16:00:00,1,0.0,26.24,Customer_99,East,2021-11-21,Electronics,26.24
10066,CUST-073,PROD-014,2023-01-03 17:00:00,4,0.05,720.82,Customer_73,North,2021-05-23,Office,189.69
10067,CUST-051,PROD-011,2023-01-03 18:00:00,6,0.05,1594.92,Customer_51,Midwest,2020-12-20,Clothing,279.81
10068,CUST-039,PROD-009,2023-01-03 19:00:00,2,0.1,599.71,Customer_39,South,2020-09-27,Furniture,333.17
10069,CUST-034,PROD-017,2032-12-31 20:00:00,7,0.2,146.94,Customer_34,South,2020-08-23,Electronics,26.24
10070,CUST-086,PROD-007,2023-01-03 21:00:00,7,0.0,983.43,Customer_86,Midwest,2021-08-22,Furniture,140.49
10071,CUST-077,PROD-018,2023-01-03 22:00:00,8,0.1,2810.74,Customer_77,East,2021-06-20,Furniture,390.38
10072,CUST-098,PROD-007,2023-01-03 23:00:00,1,0.05,133.47,Customer_98,Midwest,2021-11-14,Furniture,140.49
10073,CUST-084,PROD-006,2023-01-04 00:00:00,7,0.05,762.49,Customer_84,East,2021-08-08,Electronics,114.66
10074,CUST-056,PROD-001,2023-01-04 01:00:00,5,0.1,757.22,Customer_56,East,2021-01-24,Clothing,168.27
10075,CUST-052,PROD-013,2023-01-04 02:00:00,8,0.0,2055.52,Customer_52,North,2020-12-27,Clothing,256.94
10076,CUST-035,PROD-004,2023-01-04 03:00:00,1,0.0,335.53,Customer_35,North,2020-08-30,Office,335.53
10077,CUST-034,PROD-004,2023-01-04 04:00:00,1,0.05,318.75,Customer_34,South,2020-08-23,Office,335.53
10078,CUST-021,PROD-008,2023-01-04 05:00:00,9,0.2,1355.76,Customer_21,West,2020-05-24,Electronics,188.3
10079,CUST-091,PROD-007,2023-01-04 06:00:00,3,0.05,400.4,Customer_91,Midwest,2021-09-26,Furniture,140.49
10080,CUST-090,PROD-013,2023-01-04 07:00:00,-8,0.1,-1849.97,Customer_90,Midwest,2021-09-19,Clothing,256.94
10081,CUST-020,PROD-011,2023-01-04 08:00:00,4,0.0,1119.24,Customer_20,Midwest,2020-05-17,Clothing,279.81
10082,CUST-100,PROD-018,2023-01-04 09:00:00,1,0.1,,Customer_100,East,2021-11-28,Furniture,390.38
10083,CUST-084,PROD-003,2023-01-04 10:00:00,4,0.05,605.57,Customer_84,East,2021-08-08,Office,159.36
10084,CUST-002,PROD-010,2023-01-04 11:00:00,6,0.0,349.26,Customer_2,South,2020-01-12,Clothing,58.21
10085,CUST-060,PROD-011,2023-01-04 12:00:00,7,0.1,1762.8,Customer_60,South,2021-02-21,Clothing,279.81
10086,CUST-054,PROD-006,2023-01-04 13:00:00,1,0.2,91.73,Customer_54,North,2021-01-10,Electronics,114.66
10087,CUST-003,PROD-009,2023-01-04 14:00:00,9,0.1,2698.68,Customer_3,East,2020-01-19,Furniture,333.17
10088,CUST-085,PROD-007,2023-01-04 15:00:00,2,0.2,224.78,Customer_85,West,2021-08-15,Furniture,140.49
10089,CUST-033,PROD-007,2023-01-04 15:00:00,8,0.1,1011.53,Customer_33,South,2020-08-16,Furniture,140.49
10090,CUST-081,PROD-005,2023-01-04 17:00:00,3,0.1,673.6,Customer_81,North,2021-07-18,Clothing,249.48
10091,CUST-085,PROD-006,2023-01-04 18:00:00,8,0.05,,Customer_85,West,2021-08-15,Electronics,114.66
10092,CUST-070,PROD-020,2023-01-04 19:00:00,8,0.05,1044.09,Customer_70,East,2021-05-02,Electronics,137.38
10093,CUST-073,PROD-018,2023-01-04 20:00:00,2,0.1,702.68,Customer_73,North,2021-05-23,Furniture,390.38
10094,CUST-023,PROD-020,2023-01-04 21:00:00,2,0.2,219.81,Customer_23,South,2020-06-07,Electronics,137.38
10095,CUST-073,PROD-004,2023-01-04 22:00:00,2,0.0,671.06,Customer_73,North,2021-05-23,Office,335.53
10096,CUST-038,PROD-011,2023-01-04 23:00:00,1,0.05,265.82,Customer_38,East,2020-09-20,Clothing,279.81
10097,CUST-054,PROD-012,2023-01-05 00:00:00,8,0.2,3006.78,Customer_54,North,2021-01-10,Furniture,469.81
10098,CUST-022,PROD-015,2023-01-05 01:00:00,7,0.05,1805.81,Customer_22,North,2020-05-31,Furniture,271.55
10099,CUST-074,PROD-019,2023-01-05 02:00:00,6,0.0,1162.02,Customer_74,South,2021-05-30,Electronics,193.67
10100,CUST-056,PROD-001,2023-01-05 03:00:00,7,0.1,1060.1,Customer_56,East,2021-01-24,Clothing,168.27
10101,CUST-025,PROD-014,2023-01-05 04:00:00,2,0.1,341.44,Customer_25,East,2020-06-21,Office,189.69
