ProductID,Category,Price
PROD-001,Clothing,168.27
PROD-002,Clothing,394.72
PROD-003,Office,159.36
PROD-004,Office,335.53
PROD-005,Clothing,249.48
PROD-006,Electronics,114.66
PROD-007,Furniture,140.49
PROD-008,Electronics,188.3
PROD-009,Furniture,333.17
PROD-010,Clothing,58.21
PROD-011,Clothing,279.81
PROD-012,Furniture,469.81
PROD-013,Clothing,256.94
PROD-014,Office,189.69
PROD-015,Furniture,271.55
PROD-016,Furniture,427.81
PROD-017,Electronics,26.24
PROD-018,Furniture,390.38
PROD-019,Electronics,193.67
PROD-020,Electronics,137.38
