TransactionID,CustomerID,ProductID,Date,Quantity,Discount,Total_Amount
10001,CUST-055,PROD-008,2023-01-01 00:00:00,9,0.2,1355.76
10002,CUST-023,PROD-019,2023-01-01 01:00:00,1,0.1,
10003,CUST-095,PROD-002,2023-01-01 02:00:00,9,0.0,3552.48
10004,CUST-058,PROD-019,2023-01-01 03:00:00,2,0.2,309.87
10005,CUST-070,PROD-003,2023-01-01 04:00:00,8,0.1,1147.39
10006,CUST-092,PROD-002,2023-01-01 05:00:00,5,0.0,1973.6
10007,CUST-049,PROD-006,2023-01-01 06:00:00,5,0.2,458.64
10008,CUST-091,PROD-011,2023-01-01 07:00:00,5,0.05,1329.1
10009,CUST-042,PROD-002,2023-01-01 08:00:00,9,0.1,3197.23
10010,CUST-058,PROD-017,2023-01-01 09:00:00,6,0.2,
10011,CUST-068,PROD-005,2023-01-01 10:00:00,8,0.2,1596.67
10012,CUST-015,PROD-003,2023-01-01 11:00:00,2,0.1,286.85
10013,CUST-066,PROD-008,2023-01-01 12:00:00,9,0.05,1609.96
10014,CUST-026,PROD-012,2023-01-01 13:00:00,5,0.2,1879.24
10015,CUST-014,PROD-010,2023-01-01 14:00:00,2,0.2,93.14
10016,CUST-069,PROD-014,2023-01-01 14:00:00,8,0.1,1365.77
10017,CUST-087,PROD-015,2023-01-01 16:00:00,4,0.0,1086.2
10018,CUST-044,PROD-001,2023-01-01 17:00:00,4,0.0,673.08
10019,CUST-018,PROD-015,2023-01-01 18:00:00,7,0.2,1520.68
10020,CUST-098,PROD-006,2023-01-01 19:00:00,5,0.05,544.63
10021,CUST-010,PROD-017,2023-01-01 20:00:00,3,0.0,
10022,CUST-011,PROD-011,2023-01-01 21:00:00,9,0.1,2266.46
10023,CUST-021,PROD-019,2023-01-01 22:00:00,8,0.1,1394.42
10024,CUST-091,PROD-009,2023-01-01 23:00:00,5,0.1,1499.26
10025,CUST-048,PROD-015,2023-01-02 00:00:00,6,0.05,
10026,CUST-017,PROD-014,2023-01-02 01:00:00,3,0.0,569.07
10027,CUST-048,PROD-017,2023-01-02 02:00:00,5,0.1,118.08
10028,CUST-089,PROD-010,2023-01-02 03:00:00,3,0.1,157.17
10029,CUST-064,PROD-014,2023-01-02 04:00:00,9,0.2,1365.77
10030,CUST-099,PROD-002,2023-01-02 05:00:00,3,0.0,1184.16
10031,CUST-023,PROD-003,2023-01-02 06:00:00,2,0.0,318.72
10032,CUST-088,PROD-011,2023-01-02 07:00:00,2,0.05,531.64
10033,CUST-033,PROD-001,2023-01-02 08:00:00,8,0.2,1076.93
10034,CUST-031,PROD-002,2023-01-02 09:00:00,9,0.1,3197.23
10035,CUST-011,PROD-016,2023-01-02 10:00:00,4,0.2,1368.99
10036,CUST-099,PROD-020,2023-01-02 11:00:00,7,0.0,961.66
10037,CUST-002,PROD-019,2023-01-02 12:00:00,4,0.1,697.21
10038,CUST-019,PROD-002,2023-01-02 13:00:00,5,0.1,1776.24
10039,CUST-018,PROD-007,2023-01-02 14:00:00,9,0.2,1011.53
10040,CUST-023,PROD-011,2023-01-02 15:00:00,2,0.0,559.62
10041,CUST-072,PROD-004,2023-01-02 16:00:00,9,0.0,3019.77
10042,CUST-020,PROD-020,2023-01-02 17:00:00,3,0.2,329.71
10043,CUST-010,PROD-011,2023-01-02 18:00:00,5,0.1,1259.14
10044,CUST-099,PROD-010,2023-01-02 19:00:00,8,0.05,442.4
10045,CUST-072,PROD-019,2023-01-02 20:00:00,1,0.05,183.99
10046,CUST-085,PROD-019,2023-01-02 21:00:00,1,0.0,193.67
10047,CUST-028,PROD-010,2023-01-02 22:00:00,9,0.1,471.5
10048,CUST-064,PROD-010,2023-01-02 23:00:00,1,0.05,55.3
10049,CUST-006,PROD-005,2023-01-03 00:00:00,5,0.1,1122.66
10050,CUST-047,PROD-003,2023-01-03 01:00:00,3,0.05,454.18
10051,CUST-058,PROD-018,2023-01-03 02:00:00,1,0.2,312.3
10052,CUST-100,PROD-013,2023-01-03 03:00:00,6,0.1,
10053,CUST-014,PROD-002,2023-01-03 04:00:00,8,0.2,2526.21
10054,CUST-015,PROD-020,2023-01-03 05:00:00,0,0.2,0.0
10055,CUST-033,PROD-014,2023-01-03 06:00:00,2,0.0,
10056,CUST-041,PROD-003,2023-01-03 07:00:00,3,0.0,478.08
10057,CUST-029,PROD-019,2023-01-03 08:00:00,4,0.05,735.95
10058,CUST-051,PROD-017,2023-01-03 09:00:00,3,0.0,78.72
